result,x,y
5.308483982570059,10,4
5.308483982570059,10,4
5.308483982570059,10,4
5.308483982570059,10,4
5.308483982570059,10,4
5.308483982570059,10,4
5.253106411295739,10,8
5.253106411295739,10,8
5.253106411295739,10,8
5.253106411295739,10,8
5.253106411295739,10,8
5.253106411295739,10,8
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.203516385344883,10,5
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.179646791300509,10,6
5.179646791300509,10,6
5.179646791300509,10,6
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.038641742154643,9,5
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
4.93692042613759,8,4
4.93692042613759,8,4
4.93692042613759,8,4
4.93692042613759,8,4
4.93692042613759,8,4
4.93692042613759,8,4
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
