result,x,y
5.308483982570059,10,4
5.308483982570059,10,4
5.253106411295739,10,8
5.253106411295739,10,8
5.203516385344883,10,5
5.203516385344883,10,5
5.202615636740511,10,7
5.179646791300509,10,6
5.179646791300509,10,6
5.179646791300509,10,6
5.179646791300509,10,6
5.179646791300509,10,6
5.179646791300509,10,6
5.129973725892108,9,8
5.129973725892108,9,8
5.129973725892108,9,8
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.066203781250628,9,7
5.066203781250628,9,7
5.038641742154643,9,5
5.038641742154643,9,5
5.029165840362207,9,6
5.029165840362207,9,6
5.005270247391173,8,8
5.005270247391173,8,8
4.93692042613759,8,4
4.93692042613759,8,4
4.926057149507382,8,7
4.926057149507382,8,7
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.880627802183891,7,8
4.8721620915525365,8,6
4.8721620915525365,8,6
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.758410169459636,6,8
4.758410169459636,6,8
4.758410169459636,6,8
4.729281061359341,7,4
4.729281061359341,7,4
4.729281061359341,7,4
4.709643162054756,7,6
4.709643162054756,7,6
4.679267741246761,7,5
4.679267741246761,7,5
4.641876353203706,5,8
4.641876353203706,5,8
4.641320587285346,6,7
4.5436580245804885,6,6
4.5436580245804885,6,6
4.535266618145442,4,8
4.535266618145442,4,8
4.535266618145442,4,8
4.506137510045127,6,4
4.502734423999221,5,7
4.502734423999221,5,7
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.443699424619946,3,8
4.443699424619946,3,8
4.443699424619946,3,8
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
4.373056600690696,4,7
4.2872256534707525,5,5
4.2684658581680255,5,4
4.2684658581680255,5,4
4.08877471474691,4,5
4.08877471474691,4,5
4.08877471474691,4,5
4.073654395334778,3,6
4.073654395334778,3,6
4.073654395334778,3,6
4.073654395334778,3,6
4.020629694263439,4,4
4.020629694263439,4,4
4.020629694263439,4,4
3.9015631726587574,3,5
3.9015631726587574,3,5
3.9015631726587574,3,5
3.7737696163319083,3,4
3.7737696163319083,3,4
3.7737696163319083,3,4
3.7737696163319083,3,4
3.7737696163319083,3,4
result,x,y
5.978551532972239,9.048,8.0
5.518531003457869,7.024,8.0
5.463334497968555,8.024,6.0
5.463334497968555,8.024,6.0
5.408702552192608,5.032,8.0
5.308483982570059,10.0,4.0
5.308483982570059,10.0,4.0
5.279504887208575,5.024,8.0
5.26167049624377,9.008,6.0
5.251190321743752,10.0,7.968
5.204521981208782,10.0,7.048
5.199197131487929,10.0,5.08
5.179646791300509,10.0,6.0
5.179646791300509,10.0,6.0
5.179533041961046,10.0,5.96
5.164680901834309,8.008,7.0
5.129973725892108,9.0,8.0
5.129973725892108,9.0,8.0
5.129973725892108,9.0,8.0
5.129604769967073,9.0,4.0
5.129604769967073,9.0,4.0
5.127977326323253,8.008,4.0
