result,x,y
5.253106411295739,10,8
5.253106411295739,10,8
5.203516385344883,10,5
5.203516385344883,10,5
5.202615636740511,10,7
5.202615636740511,10,7
5.202615636740511,10,7
5.129973725892108,9,8
5.129604769967073,9,4
5.129604769967073,9,4
5.129604769967073,9,4
5.066203781250628,9,7
5.066203781250628,9,7
5.066203781250628,9,7
5.038641742154643,9,5
5.038641742154643,9,5
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.029165840362207,9,6
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
5.005270247391173,8,8
4.926057149507382,8,7
4.926057149507382,8,7
4.926057149507382,8,7
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
4.8721620915525365,8,6
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.863839017774737,8,5
4.783636809465607,7,7
4.783636809465607,7,7
4.758410169459636,6,8
4.758410169459636,6,8
4.758410169459636,6,8
4.729281061359341,7,4
4.729281061359341,7,4
4.729281061359341,7,4
4.729281061359341,7,4
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.679267741246761,7,5
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641876353203706,5,8
4.641320587285346,6,7
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.5436580245804885,6,6
4.535266618145442,4,8
4.506137510045127,6,4
4.502734423999221,5,7
4.502734423999221,5,7
4.486076512215897,6,5
4.486076512215897,6,5
4.486076512215897,6,5
4.443699424619946,3,8
4.443699424619946,3,8
4.443699424619946,3,8
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
4.377865769737767,5,6
4.373056600690696,4,7
4.373056600690696,4,7
4.2872256534707525,5,5
4.2872256534707525,5,5
4.2684658581680255,5,4
4.259112341341472,3,7
4.259112341341472,3,7
4.259112341341472,3,7
4.259112341341472,3,7
4.259112341341472,3,7
4.2182356241458905,4,6
4.08877471474691,4,5
4.08877471474691,4,5
4.08877471474691,4,5
4.073654395334778,3,6
4.073654395334778,3,6
4.073654395334778,3,6
4.020629694263439,4,4
4.020629694263439,4,4
4.020629694263439,4,4
4.020629694263439,4,4
3.9015631726587574,3,5
3.9015631726587574,3,5
3.9015631726587574,3,5
3.9015631726587574,3,5
3.7737696163319083,3,4
3.7737696163319083,3,4
result,x,y
5.649401273184297,9.072,8.0
5.620251427109821,9.048,5.0
5.441505490691555,9.016,5.0
5.360811731175861,8.024,4.0
5.308483982570059,10.0,4.0
5.305961682533956,8.016,6.0
5.2668622046625355,8.016,5.0
5.253106411295739,10.0,8.0
5.253106411295739,10.0,8.0
5.206350566312579,10.0,4.952
5.204910288418181,10.0,4.976
5.204521981208782,10.0,7.048
5.204521981208782,10.0,7.048
5.203975905048145,10.0,4.992
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.202615636740511,10.0,7.0
5.201294602070765,10.0,5.04
5.179646791300509,10.0,6.0
5.129973725892108,9.0,8.0
5.129604769967073,9.0,4.0
5.127977326323253,8.008,4.0
5.066203781250628,9.0,7.0
5.066203781250628,9.0,7.0
5.066203781250628,9.0,7.0
5.038641742154643,9.0,5.0
5.038641742154643,9.0,5.0
5.029612991454815,9.0,6.024
5.029165840362207,9.0,6.0
5.029165840362207,9.0,6.0
5.029165840362207,9.0,6.0
5.028350064033054,9.0,5.952
5.028350064033054,9.0,5.952
5.005270247391173,8.0,8.0
5.005270247391173,8.0,8.0
5.005270247391173,8.0,8.0
5.005270247391173,8.0,8.0
4.960464623576383,9.096,8.0
4.93692042613759,8.0,4.0
4.93692042613759,8.0,4.0
4.93692042613759,8.0,4.0
4.926057149507382,8.0,7.0
4.925505857992407,8.0,6.992
4.880627802183891,7.0,8.0
4.8721620915525365,8.0,6.0
4.8721620915525365,8.0,6.0
4.871599346747836,8.0,5.984
4.870776710783593,8.0,5.96
4.870508281305111,8.0,5.952
4.870508281305111,8.0,5.952
4.8644563672778,8.0,4.976
4.863839017774737,8.0,5.0
4.863839017774737,8.0,5.0
4.863839017774737,8.0,5.0
4.824869964317567,5.024,5.0
4.794973948648294,8.992,5.0
4.783636809465607,7.0,7.0
4.783636809465607,7.0,7.0
4.781531895438138,7.0,6.976
4.729281061359341,7.0,4.0
4.712413115704047,7.0,6.048
4.679267741246761,7.0,5.0
4.679242593699066,7.0,5.024
4.641876353203706,5.0,8.0
4.641876353203706,5.0,8.0
4.641320587285346,6.0,7.0
4.641320587285346,6.0,7.0
4.5476473568192475,6.0,6.048
4.5443168069955755,6.0,6.008
4.5436580245804885,6.0,6.0
4.5436580245804885,6.0,6.0
4.5436580245804885,6.0,6.0
4.5436580245804885,6.0,6.0
4.506137510045127,6.0,4.0
4.502734423999221,5.0,7.0
4.443699424619946,3.0,8.0
4.435444963439916,6.992,5.0
4.390410864563934,4.992,8.0
4.377865769737767,5.0,6.0
4.377865769737767,5.0,6.0
4.338132255283732,8.976,7.0
4.2908549167523855,5.0,5.056
4.2872256534707525,5.0,5.0
4.259112341341472,3.0,7.0
4.259112341341472,3.0,7.0
4.096612003832429,3.904,8.0
4.082413136449117,3.0,6.048
3.9384969737982205,6.976,5.0
3.921987875200087,8.96,6.0
3.8910076599819523,8.96,5.0
3.8694132796071763,7.952,8.0
3.709494414786212,4.904,6.0
3.709494414786212,4.904,6.0
3.6035411900288095,5.904,5.0
3.470220921984549,5.952,7.0
3.412567585717121,4.928,7.0
3.3685932886368466,6.952,4.0
3.000868623103473,4.952,5.0
2.944238629262733,4.928,5.0
result,x,y
5.864783412721893,9.048,7.0
5.767359547491901,9.04,6.0
5.649401273184297,9.072,8.0
5.620251427109821,9.048,5.0
5.580419362537773,9.031,4.0
5.546510816792585,8.024,7.0
5.546510816792585,8.024,7.0
5.527797551690422,8.023,7.0
5.463866611517276,9.047,4.0
5.44872396365086,9.048,4.0
5.44872396365086,9.048,4.0
5.441527133925581,9.016,4.952
5.40099511658579,8.024,5.0
5.375898939890389,8.016,7.0
5.308483982570059,10.0,4.0
5.308483982570059,10.0,4.0
5.307337075171983,8.016,6.024
5.305961682533956,8.016,6.0
5.305961682533956,8.016,6.0
5.305961682533956,8.016,6.0
5.303263809456389,8.016,5.952
5.267322206090053,8.016,5.024
5.2667147580998686,8.016,4.992
5.266428737225709,8.016,4.976
5.266021987923101,8.016,4.952
5.253106411295739,10.0,8.0
5.253106411295739,10.0,8.0
5.253106411295739,10.0,8.0
5.253106411295739,10.0,8.0
5.20783784114168,10.0,4.928
5.20783784114168,10.0,4.928
5.206822277581291,10.0,7.104
5.204521981208782,10.0,7.048
5.204521981208782,10.0,7.048
5.203975905048145,10.0,4.992
5.203975905048145,10.0,4.992
5.203561166413295,10.0,7.024
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.203516385344883,10.0,5.0
5.202615636740511,10.0,7.0
5.202615636740511,10.0,7.0
5.179646791300509,10.0,6.0
5.179646791300509,10.0,6.0
5.179519185327289,10.0,5.952
5.106434406201785,8.007,4.0
5.106434406201785,8.007,4.0
5.07095024474131,9.0,7.088
5.066203781250628,9.0,7.0
5.066203781250628,9.0,7.0
5.066203781250628,9.0,7.0
5.064943912888717,9.0,6.976
5.064943912888717,9.0,6.976
5.038986556723626,9.0,4.992
5.038641742154643,9.0,5.0
